word,word_lemma
spørgsmålet,spørgsmål
lyder,lyde
ministeren,minister
statsministerens,statsminister
fravær,fravær
oplyse,oplyse
regeringen,regering
skiftet,skifte
standpunkt,standpunkt
udtalelserne,udtalelse
konservative,konservativ
ordfører,ordfører
arbejde,arbejde
eu,eu
påtager,påtage
sit,sin
klimaansvar,klimaansvar
reducerer,reducere
stedet,sted
hidtidige,hidtidig
tak,tak
starte,starte
slå,slå
fast,fast
regeringens,regering
holdning,holdning
uændret,uændret
fastslået,fastslå
reducere,reducer
udledninger,udledninge
forhold,forhold
omstændigheder,omstændighed
parate,parat
påtage,påtage
reduktionsmål,reduktionsmål
sammenlignet,sammenligne
forudsat,forudsætte
ilande,ilande
forpligter,forpligte
sammenlignelige,sammenlignelig
reduktioner,reduktion
udviklingslandene,udviklingsland
bidrager,bidrage
bedste,god
vis,vis
tvivl,tvivl
mener,mene
led,led
indgåelsen,indgåels
samlet,samle
set,se
tilfredsstillende,tilfredsstille
klimaaftale,klimaaftale
arbejdet,arbejde
aktivt,aktiv
bred,bred
opbakning,opbakning
medlemslandene,medlemsland
position,position
fremgår,fremgå
brev,brev
januar,januar
spanske,spansk
formandskab,formandskab
vegne,vegne
associeret,associere
copenhagen,copenhag
accord,accord
indmeldt,indmelde
lægge,lægge
skjul,skjul
hersker,herske
forskellige,forskellig
holdninger,holdning
spørgsmål,spørgsmål
krævet,kræve
hårdt,hård
dansk,dansk
side,side
bevare,bevare
offensive,offensive
tilbud,tilbud
bordet,bord
virkeligheden,virkelighed
kloden,klod
behov,behov
initiativer,initiativ
klimaområdet,klimaområde
fiaskoen,fiasko
ude,ude
bella,bella
centeret,centeer
strategi,strategi
konstatere,konstatere
tage,tage
international,international
aftale,aftale
virket,virke
overhovedet,overhovedet
kommet,komme
resultater,resultat
utrolig,utrolig
vigtigt,vigtig
danmark,danmark
arbejder,arbejde
smækker,smække
kortene,kortene
går,gå
måde,måde
viser,vise
verden,verden
hjælper,hjælpe
resten,rest
sat,sætte
klimamål,klimamål
tror,tro
egentlig,egentlig
obama,obama
bedst,bedst
senatet,senatet
siger,sige
vente,vente
tager,tage
selvfølgelig,selvfølgelig
hjælpe,hjælpe
politisk,politisk
rundtomkring,rundtomkring
rykker,rykke
sagen,sag
klimaets,klima
vanskeligt,vanskeligt
filosofere,filosofere
når,når
ser,se
nuværende,nuværende
situation,situation
klimaforhandlingerne,klimaforhandling
amerikanerne,amerikaner
primært,primært
kigger,kigge
europæerne,europæ
kineserne,kines
felt,felt
hensyn,hensyn
fiasko,fiasko
lang,lang
debat,debat
altså,altså
tilfældigvis,tilfældigvis
kina,kina
indien,indi
rejse,rejse
indtrykket,indtrykke
glasset,glasse
halvt,halv
fyldt,fylde
tomt,tom
eventuelt,eventuelt
komme,komme
taler,tale
holdningen,holdning
spille,spille
kort,kort
effekt,effekt
netop,netop
lande,land
gå,gå
frem,frem
forhandlingsprocessen,forhandlingsprocesse
slet,slet
